stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
40.1005516052,,-88.2334518433,4THPA:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/4thpa,4THPA,,Fourth & Pennsylvania (NW Corner),0,
40.127445,,-88.205525,CCRDVSN:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ccrdvsn,CCRDVSN,,Country Club & Division (SW Corner),0,
40.1041297913,,-88.2191886902,LAR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lar,,,LAR,1,
40.12747833,,-88.20533167,CCRDVSN:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ccrdvsn,CCRDVSN,,Country Club & Division (North Side),0,
40.10750833,,-88.20881833,RACEOR:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceor,RACEOR,,Race & Oregon (SE Corner),0,
40.0826072693,,-88.2709846497,WINDATMWD,http://www.cumtd.com/maps-and-schedules/bus-stops/info/windatmwd,,,Windward and Autumnwood,1,
40.107625,,-88.20888167,RACEOR:4,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceor,RACEOR,,Race & Oregon (NW Corner),0,
40.073864,,-88.3099725,CATFS,,,,Carle at the Fields South,1,
40.094707665,,-88.283375165,BDMRCRSNT,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bdmrcrsnt,,,Broadmoor and Crescent,1,
40.11233,,-88.21943,SPFLDLNCLN:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldlncln,SPFLDLNCLN,,Lincoln & Springfield (SW Corner),0,
40.0836085064,,-88.2495980464,FOXWDSR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxwdsr,,,Fox and Windsor,1,
40.10856167,,-88.1762,DDSNIL:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ddsnil,DDSNIL,,Dodson & Illinois (SE Corner),0,
40.122007,,-88.202726,KERGRLDNE,,,,Kerr and Geraldine,1,
40.1166114807,,-88.2518081665,CENTRAL,http://www.cumtd.com/maps-and-schedules/bus-stops/info/central,,,Central High,1,
40.1092195,,-88.278696,JOHNFRANK,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnfrank,,,John and Frank,1,
40.096638335,,-88.19071167,SUNNYCREST,http://www.cumtd.com/maps-and-schedules/bus-stops/info/sunnycrest,,,Sunnycrest Shopping Center,1,
40.109065,,-88.20879333,RACEIL:2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/raceil,RACEIL,,Race & Illinois (SE Corner),0,
40.087775,,-88.19779167,MHRYLYN:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mhrylyn,MHRYLYN,,McHenry & Lynn (SW Corner),0,
40.1056625,,-88.18572333,WASHCSQR,http://www.cumtd.com/maps-and-schedules/bus-stops/info/washcsqr,,,Washington and Country Squire,1,
40.0852375,,-88.238175835,ASHTON,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ashton,,,First at Ashton Woods,1,
40.0780334473,,-88.2574996948,PSPCTGALN:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctgaln,PSPCTGALN,,Prospect & Galen (SW Corner),0,
40.11739,,-88.22417,GWNPK:3,http://www.cumtd.com/maps-and-schedules/bus-stops/info/gwnpk,GWNPK,,Goodwin & Park (SW Corner),0,
40.0781097412,,-88.258140564,GLNSLBY:1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/glnslby,GLNSLBY,,Galen & Salisbury (NE Corner),0,
40.12654667,,-88.24694667,STEBRD,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stebrd,,,State and Beardsley,1,
